rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:5ThyDv6aRVU8AH4vXQNldF,"Kushagra, Bharath, Saaheal",Finding Her,EYP Creations,1,2,9,8770636,regional-in-weekly-2025-05-08.csv
2,spotify:track:4XTgFBxBHN6var1BzAgE1m,"Maanu, Annural Khalid",Jhol,Giraffe Music,1,1,21,8537061,regional-in-weekly-2025-05-08.csv
3,spotify:track:4LMlVCXHJtCE9abhmn0mYo,"Afusic, AliSoomroMusic",Pal Pal,Afusic,3,4,6,6370931,regional-in-weekly-2025-05-08.csv
4,spotify:track:4vHRQnzGcKEtqsLH70tAms,"Sachet-Parampara, Parampara Tandon, Kausar Munir","Raanjhan (From ""Do Patti"")",T-Series,1,3,29,5996339,regional-in-weekly-2025-05-08.csv
5,spotify:track:5UGrftqh9U3zKQUt3vs7Ob,Shubh,Supreme,Shubh,5,8,3,5299347,regional-in-weekly-2025-05-08.csv
6,spotify:track:2ZzZ2qwZBWlDKs420hhloc,"Bayaan, Hasan Raheem, Rovalio",Maand,Bayaan,4,5,10,4970920,regional-in-weekly-2025-05-08.csv
7,spotify:track:0eCajpR75pDW0r64U6hP2x,Anuv Jain,Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,6,39,4710052,regional-in-weekly-2025-05-08.csv
8,spotify:track:1hlbywc8Jhl1FFqJxAMabE,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Ishq,Artiste First,2,7,58,4463585,regional-in-weekly-2025-05-08.csv
9,spotify:track:6nRGPf5tpeJtKpXZO5cgIT,"Aditya Rikhari, UNPLG'd",Paro,Universal Music India Pvt Ltd.,7,9,9,4235421,regional-in-weekly-2025-05-08.csv
10,spotify:track:3vCzLB6kS2lGcIpm1OOUsy,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Ishq Hai,Netflix Music,1,10,21,4140901,regional-in-weekly-2025-05-08.csv
11,spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",T-Series,2,11,310,3653894,regional-in-weekly-2025-05-08.csv
12,spotify:track:1hA697u7e1jX2XM8sWA6Uy,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Apna Bana Le,Zee Music Company,1,12,98,3569699,regional-in-weekly-2025-05-08.csv
13,spotify:track:2cPUB8EOT6AfJ8oxhyoNXL,"Pritam, Javed Bashir, Rajat Arora",Ye Tune Kya Kiya,T-Series,12,13,64,3404216,regional-in-weekly-2025-05-08.csv
